pret,descriere,link
2999,"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen 5 5600H, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce GTX 1650 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzen-5-5600h-15-6-full-hd-8gb-256gb-ssd-nvidia-geforce-gtx-1650-4gb-no-os-shadow-black-82k2007arm/pd/DP6JPXMBM/
5999,"Laptop Apple MacBook Air 13-inch, True Tone, procesor Apple M1 , 8 nuclee CPU si 7 nuclee GPU, 8GB, 512GB, Space Grey, INT KB",https://www.emag.ro/laptop-apple-macbook-air-13-inch-true-tone-procesor-apple-m1-8-nuclee-cpu-si-7-nuclee-gpu-8gb-512gb-space-grey-int-kb-mgn73ze-a/pd/D55BL7MBM/
1289,"Laptop Allview Allbook H cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD 600, Ubuntu, Grey",https://www.emag.ro/laptop-allview-cu-procesor-intel-celeron-n4000-pana-la-2-60-ghz-15-6-full-hd-4gb-256gb-ssd-intel-uhd-600-ubuntu-grey-allbook-h/pd/D81Y12MBM/
4699,"Laptop Gaming Lenovo Legion 5 15IMH6 cu procesor Intel Core i5-10500H, 15.6"", Full HD, 165Hz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3050 Ti 4GB, No OS, Phantom Black",https://www.emag.ro/laptop-gaming-lenovo-legion-5-15imh6-cu-procesor-intel-core-i5-10500h-15-6-full-hd-165hz-16gb-512gb-ssd-nvidia-geforce-rtx-3050-ti-4gb-no-os-phantom-black-82nl0011rm/pd/D5J12XMBM/
1599,"Laptop ASUS X509UA-EJ356 cu procesor Intel® Core™ i3-8130U, 15.6"" Full HD, 8GB, SSD 256GB, Intel® UHD Graphics 620, No OS, Slate Grey",https://www.emag.ro/laptop-asus-cu-procesor-intelr-coretm-i3-8130u-15-6-full-hd-8gb-ssd-256gb-intelr-uhd-graphics-620-no-os-slate-grey-x509ua-ej356/pd/D8THWPMBM/
3699,"Laptop ultraportabil ASUS ZenBook 14 UM425IA cu procesor AMD Ryzen™ 7 4700U, 14"", Full HD, 8GB, 512GB SSD, AMD Radeon™ Graphics, Windows 10 Home, Lilac Mist",https://www.emag.ro/laptop-ultraportabil-asus-zenbook-14-um425ia-cu-procesor-amd-ryzentm-7-4700u-14-full-hd-8gb-512gb-ssd-amd-radeontm-graphics-windows-10-home-lilac-mist-um425ia-am036t/pd/D152NPMBM/
5299,"Laptop Gaming ASUS ROG Strix G15 G513QE cu procesor AMD Ryzen™ 7 5800H, 15.6"", Full HD, 300Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 3050 Ti 4GB, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-rog-strix-g15-g513qe-cu-procesor-amd-ryzentm-7-5800h-15-6-full-hd-300hz-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-eclipse-gray-g513qe-hf008/pd/D8JGFXMBM/
2199,"Laptop HP 250 G8 cu procesor Intel® Core™ i3-1005G1, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Dark ash silver",https://www.emag.ro/laptop-hp-250-g8-cu-procesor-intelr-coretm-i3-1005g1-15-6-full-hd-8gb-256gb-ssd-intelr-uhd-graphics-free-dos-dark-ash-silver-27k02ea/pd/DBQWYHMBM/
3299,"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen 5 5600H pana la 4.2GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzen-5-5600h-pana-la-4-2ghz-15-6-full-hd-ips-8gb-512gb-ssd-nvidia-geforce-gtx-1650-4gb-no-os-shadow-black-82k2007brm/pd/D7YGGPMBM/
1599,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel® Celeron® N4120 pana la 2.60 GHz, 14”, Full HD, 4GB, 128GB SSD, Inel UHD Graphics, No OS, SIlver",https://www.emag.ro/laptop-ultraportabil-acer-swift-1-sf114-33-cu-procesor-intelr-celeronr-n4120-pana-la-2-60-ghz-14-full-hd-4gb-128gb-ssd-inel-uhd-graphics-no-os-silver-nx-hysex-001/pd/DR28S2MBM/
3799,"Laptop Gaming ASUS ROG Zephyrus G14 GA401IHR cu procesor AMD Ryzen™ 7 4800HS, 14"", Full HD, 144Hz, 8GB, 1TB SSD, NVIDIA® GeForce GTX™ 1650 4GB, No Os, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401ihr-cu-procesor-amd-ryzentm-7-4800hs-14-full-hd-144hz-8gb-1tb-ssd-nvidiar-geforce-gtxtm-1650-4gb-no-os-eclipse-gray-ga401ihr-hz029/pd/D0V3KXMBM/
4599,"Laptop ultraportabil Huawei MateBook 14 2021 cu procesor AMD Ryzen™ 7 4800H, 14"", 2K, Touch, 16GB, 512GB SSD, AMD Radeon Graphics, Windows 10 Home, Gray",https://www.emag.ro/laptop-ultraportabil-huawei-matebook-14-2021-cu-procesor-amd-ryzentm-7-4800h-14-2k-touch-16gb-512gb-ssd-amd-radeon-graphics-windows-10-home-gray-53012gdq/pd/DMMVDPMBM/
1599,"Laptop HP 255 G7 cu procesor AMD Ryzen™ 3 3200U pana la 3.50 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Radeon™ Vega 3, Free DOS, Dark Ash Silver",https://www.emag.ro/laptop-hp-255-g7-cu-procesor-amd-ryzentm-3-3200u-pana-la-3-50-ghz-15-6-full-hd-8gb-256gb-ssd-radeontm-vega-3-free-dos-dark-ash-silver-1f3j8ea/pd/DB1Q6DMBM/
3999,"Laptop Dell Vostro 3500 cu procesor Intel Core i7-1165G7, 15.6"", Full HD, 16GB, 512GB SSD, Intel® Iris® Xe Graphics, Ubuntu, Accent Black",https://www.emag.ro/laptop-dell-vostro-3500-cu-procesor-intel-core-i7-1165g7-15-6-full-hd-16gb-512gb-ssd-intelr-irisr-xe-graphics-ubuntu-accent-black-n5001vn3500emeaubu/pd/DV403XMBM/
2699,"Laptop Lenovo IdeaPad 3 15ALC6 cu procesor AMD Ryzen 5 5500U, 15.6"", Full HD,IPS, 8GB, 512GB SSD, AMD Radeon Graphics, Windows 10 Home, Abyss Blue",https://www.emag.ro/laptop-lenovo-ideapad-3-15alc6-cu-procesor-amd-ryzen-5-5500u-15-6-full-hd-ips-8gb-512gb-ssd-amd-radeon-graphics-windows-10-home-abyss-blue-82ku0106rm/pd/DCNQQPMBM/
6799,"Laptop Gaming Acer Nitro 5 AN517-41 cu procesor AMD Ryzen™ 5 5600H, 17.3"", Full HD, 16GB, 512GB SSD, NVIDIA® GeForce® RTX™ 3070 8GB, No OS, Shale Black",https://www.emag.ro/laptop-gaming-acer-nitro-5-an517-41-cu-procesor-amd-ryzentm-5-5600h-17-3-full-hd-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3070-8gb-no-os-shale-black-nh-qbgex-008/pd/DS4T8PMBM/
1399,"Laptop HP 15-dw1033nq cu procesor Intel® Celeron® N4020, 15.6"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Black",https://www.emag.ro/laptop-hp-15-dw1033nq-cu-procesor-intelr-celeronr-n4020-15-6-full-hd-4gb-256gb-ssd-intelr-uhd-graphics-free-dos-black-322j2ea/pd/D7BT3PMBM/
1449,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 256GB SSD, Intel UHD Graphics, No OS, Arctic Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-256gb-ssd-intel-uhd-graphics-no-os-arctic-grey-82h801evrm/pd/DZNQQPMBM/
